Datetime,BTC-USD,ETH-USD
2022-03-20 18:43:00+00:00,41153.640625,2836.63916015625
2022-03-20 18:44:00+00:00,41161.62890625,2836.8671875
2022-03-20 18:45:00+00:00,41163.84375,2837.29931640625
2022-03-20 18:47:00+00:00,41171.453125,2837.970947265625
2022-03-20 18:48:00+00:00,41153.76953125,2836.421142578125
2022-03-20 18:49:00+00:00,41129.88671875,2834.397216796875
2022-03-20 18:50:00+00:00,41144.94140625,2835.001953125
2022-03-20 18:51:00+00:00,41157.29296875,2835.66845703125
2022-03-20 18:52:00+00:00,41188.36328125,2838.002197265625
2022-03-20 18:53:00+00:00,41195.3359375,2838.6259765625
2022-03-20 18:55:00+00:00,41211.30078125,2840.371826171875
2022-03-20 18:57:00+00:00,41206.6328125,2840.400146484375
2022-03-20 18:58:00+00:00,41199.734375,2840.245849609375
2022-03-20 18:59:00+00:00,41194.25390625,2840.27978515625
2022-03-20 19:02:00+00:00,41210.40625,2842.17529296875
2022-03-20 19:03:00+00:00,41205.46484375,2841.618408203125
2022-03-20 19:04:00+00:00,41189.46875,2840.897705078125
2022-03-20 19:05:00+00:00,41193.04296875,2841.204833984375
2022-03-20 19:06:00+00:00,41195.015625,2841.3193359375
2022-03-20 19:08:00+00:00,41217.44140625,2843.07080078125
2022-03-20 19:10:00+00:00,41259.94140625,2847.58447265625
2022-03-20 19:11:00+00:00,41258.60546875,2848.04296875
2022-03-20 19:13:00+00:00,41258.671875,2850.682861328125
2022-03-20 19:14:00+00:00,41265.7421875,2851.068359375
2022-03-20 19:16:00+00:00,41280.7109375,2851.372802734375
2022-03-20 19:17:00+00:00,41285.234375,2851.152099609375
2022-03-20 19:18:00+00:00,41286.40234375,2851.676025390625
2022-03-20 19:19:00+00:00,41277.44921875,2851.521484375
2022-03-20 19:20:00+00:00,41283.734375,2851.42529296875
2022-03-20 19:21:00+00:00,41281.05859375,2851.53173828125
2022-03-20 19:22:00+00:00,41292.97265625,2852.4189453125
2022-03-20 19:24:00+00:00,41291.11328125,2852.794921875
2022-03-20 19:25:00+00:00,41287.6953125,2852.355712890625
2022-03-20 19:27:00+00:00,41288.58203125,2852.701416015625
2022-03-20 19:28:00+00:00,41278.47265625,2852.966552734375
2022-03-20 19:30:00+00:00,41276.3203125,2853.6416015625
2022-03-20 19:31:00+00:00,41278.9140625,2855.486328125
2022-03-20 19:32:00+00:00,41287.2421875,2856.31201171875
2022-03-20 19:33:00+00:00,41283.91796875,2856.489990234375
2022-03-20 19:34:00+00:00,41287.28125,2857.137451171875
2022-03-20 19:36:00+00:00,41306.0390625,2858.869873046875
2022-03-20 19:37:00+00:00,41327.4296875,2860.7626953125
2022-03-20 19:38:00+00:00,41332.015625,2861.429931640625
2022-03-20 19:39:00+00:00,41336.1953125,2862.2451171875
2022-03-20 19:41:00+00:00,41347.9453125,2864.208984375
2022-03-20 19:42:00+00:00,41346.83203125,2864.432861328125
2022-03-20 19:45:00+00:00,41339.08203125,2865.2587890625
2022-03-20 19:46:00+00:00,41338.0625,2865.505859375
2022-03-20 19:47:00+00:00,41335.58203125,2865.68115234375
2022-03-20 19:48:00+00:00,41329.84375,2865.300048828125
2022-03-20 19:50:00+00:00,41325.875,2865.743408203125
2022-03-20 19:52:00+00:00,41338.59375,2868.357177734375
2022-03-20 19:53:00+00:00,41343.9609375,2869.44189453125
